NAME,Uniprot,stringId,DNA_Repair,GO_CC,GO_BP,GO_MF,Annotation,An.color,An.number
DDX24,Q9GZR7,9606.ENSP00000481495,DSB,nucleolus ,RNA processing ,RNA helicase activity ,RNA Metabolism,gold,8
POLR1E,Q9GZS1,9606.ENSP00000367029,HR,fibrillar center,"transcription, DNA-templated",RNA polymerase I transcription factor binding,Transcription Regulation,slateblue1,9
SLIRP,Q9GZT3,9606.ENSP00000450909,0,ribonucleoprotein complex ,RNA processing ,mRNA binding ,Cell Cycle regulation,coral1,1
LSG1,Q9H089,9606.ENSP00000265245,DSB,nuclear body ,nucleocytoplasmic transport ,GTPase activity ,Ribosome Biosynthesis,lightgreen,7
NAT10,Q9H0A0,9606.ENSP00000257829,0, telomerase holoenzyme complex [GO:0005697],telomere maintenance via telomerase ,telomerase RNA binding ,Chromatin Organization,darkviolet,2
XRN2,Q9H0D6,9606.ENSP00000366396,0,nucleoplasm ,"transcription, DNA-templated ",nuclease activity ,Ribosome Biosynthesis,lightgreen,7
CSTF2T,Q9H0L4,9606.ENSP00000332444,0,mRNA cleavage and polyadenylation specificity factor complex,mRNA 3'-end processing,RNA binding,RNA Metabolism,gold,8
RAB6C,Q9H0N0,9606.ENSP00000387307,0,nucleus,mitotic cell cycle,GTPase activity,Cell Cycle regulation,coral1,1
DDX47,Q9H0S4,9606.ENSP00000350698,DSB,nucleolus ,rRNA processing ,RNA helicase activity ,Ribosome Biosynthesis,lightgreen,7
ADNP,Q9H2P0,9606.ENSP00000379346,0,RNA polymerase II transcription regulator complex ,"transcription, DNA-templated ",chromatin binding ,Chromatin Organization,darkviolet,2
MRPL46,Q9H2W6,9606.ENSP00000312311,0,nucleoplasm ,ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
PNN,Q9H307,9606.ENSP00000216832,0,nuclear speck ,"mRNA splicing, via spliceosome ",DNA binding ,Transcription Regulation,slateblue1,9
TMX1,Q9H3N1,9606.ENSP00000393316,0,integral component of membrane,response to endoplasmic reticulum stress,disulfide oxidoreductase activity,UPR,maroon,10
HEATR1,Q9H583,9606.ENSP00000355541,DSB,nucleolus ,rRNA processing ,RNA binding ,Ribosome Biosynthesis,lightgreen,7
TFB2M,Q9H5Q4,9606.ENSP00000355471,0,mitochondrial matrix ,rRNA methylation ,transcription cofactor activity ,Chromatin Organization,darkviolet,2
DHX33,Q9H6R0,9606.ENSP00000225296,0,nucleolus,ositive regulation of transcription from RNA polymerase I promote,helicase activity,Ribosome Biosynthesis,lightgreen,7
NOL6,Q9H6R4,9606.ENSP00000297990,0,CURI complex ,rRNA processing ,RNA binding ,Ribosome Biosynthesis,lightgreen,7
RPF2,Q9H7B2,9606.ENSP00000402338,DSB,nucleolus ,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) ",rRNA binding ,p53 Pathway,tomato,5
PTGES2,Q9H7Z7,9606.ENSP00000345341,0,nucleus ,"positive regulation of transcription, DNA-templated ",DNA binding ,Transcription Regulation,slateblue1,9
NOL11,Q9H8H0,9606.ENSP00000253247,0,nucleolus ,maturation of SSU-rRNA ,RNA binding ,Transcription Regulation,slateblue1,9
MED20,Q9H944,9606.ENSP00000265350,0,nucleus,"transcription, DNA-templated",transcription coactivator activity,Transcription Regulation,slateblue1,9
RPF1,Q9H9Y2,9606.ENSP00000359688,0,"preribosome, large subunit precursor ",rRNA processing ,RNA binding ,Ribosome Biosynthesis,lightgreen,7
CACYBP,Q9HB71,9606.ENSP00000356652,0, SCF ubiquitin ligase complex [GO:0019005],cellular response to leukemia inhibitory factor,ubiquitin binding ,Cell Cycle regulation,coral1,1
XAB2,Q9HCS7,9606.ENSP00000351137,HR,Prp19 complex,"mRNA splicing, via spliceosome",protein binding,RNA Metabolism,gold,8
EXOSC4,Q9NPD3,9606.ENSP00000315476,0, exosome (RNase complex) [GO:0000178],RNA processing ,3'-5'-exoribonuclease activity ,RNA Metabolism,gold,8
PPAN,Q9NQ55,9606.ENSP00000253107,0,nucleolus,rRNA processing,"rRNA binding,",RNA Metabolism,gold,8
UTP3,Q9NQZ2,9606.ENSP00000254803,0,small-subunit processome ,chromatin organization ,RNA binding ,Chromatin Organization,darkviolet,2
DDX21,Q9NR30,9606.ENSP00000346120,DSB,B-WICH complex ,chromatin organization ,RNA helicase activity ,Ribosome Biosynthesis,lightgreen,7
CHRAC1,Q9NRG0,9606.ENSP00000220913,0,CHRAC ,chromatin organization ,DNA binding ,Chromatin Organization,darkviolet,2
AAAS,Q9NRG9,9606.ENSP00000209873,0,nuclear pore,mitotic spindle assembly,protein binding,Nuclear Pore,deepskyblue3,4
FARSB,Q9NSD9,9606.ENSP00000281828,HR,phenylalanine-tRNA ligase complex ,ribosome biogenesis ,RNA binding ,RNA Metabolism,gold,8
DDX19A,Q9NUU7,9606.ENSP00000306117,0,nucleoplasm,poly(A)+ mRNA export from nucleus,RNA helicase activity,RNA Metabolism,gold,8
DCAF13,Q9NV06,9606.ENSP00000297579,0,Cul4-RING E3 ubiquitin ligase complex,rRNA processing,"substrate recognition for ubiquitination,",RNA Metabolism,gold,8
EXD2,Q9NVH0,9606.ENSP00000313140,HR,site of DNA damage,double-strand break repair via homologous recombination, exonuclease activity,DNA Repair,firebrick1,3
DNAJC11,Q9NVH1,9606.ENSP00000366800,0,nuclear speck,inner mitochondrial membrane organization,protein binding,UPR,maroon,10
ATAD3A,Q9NVI7,9606.ENSP00000368030,0,mitochondrial nucleoid,negative regulation of apoptotic process,nucleotide binding,Cell Cycle regulation,coral1,1
GNL3L,Q9NVN8,9606.ENSP00000338573,DSB,telomerase holoenzyme complex ,negative regulation of telomere maintenance via telomerase ,RNA binding ,Chromatin Organization,darkviolet,2
DDX18,Q9NVP1,9606.ENSP00000263239,0,nucleolus ,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) ",RNA helicase activity ,Ribosome Biosynthesis,lightgreen,7
NLE1,Q9NVX2,9606.ENSP00000413572,DSB,nucleolus ,positive regulation of canonical Wnt signaling pathway ,rRNA binding ,Cell Cycle regulation,coral1,1
SMPD4,Q9NXE4,9606.ENSP00000386531,0,nuclear envelope,glycerophospholipid catabolic process,sphingomyelin phosphodiesterase activity,UPR,maroon,10
TEX10,Q9NXF1,9606.ENSP00000364037,DSB,MLL1 complex ,histone methylation ,methylated histone binding ,DNA Repair,firebrick1,3
CDKN2AIP,Q9NXV6,9606.ENSP00000427108,ForkStall,nucleus,regulation of transcription from RNA polymerase II promoter,transcriptional activator activity,Transcription Regulation,slateblue1,9
AATF,Q9NY61,9606.ENSP00000477848,DSB,transcription regulator complex ,histone deacetylation ,protein kinase binding ,DNA Repair,firebrick1,3
DDX56,Q9NY93,9606.ENSP00000258772,DSB,nucleolus ,rRNA processing ,RNA helicase activity ,Cell Cycle regulation,coral1,1
BCLAF1,Q9NYF8,9606.ENSP00000435210,0,mediator complex ,"transcription, DNA-templated ",transcription cofactor activity ,DNA Repair,firebrick1,3
FASTKD2,Q9NYY8,9606.ENSP00000236980,0,mitochondrial matrix [GO:0005759],RNA processing ,RNA binding ,Ribosome Biosynthesis,lightgreen,7
IGF2BP1,Q9NZI8,9606.ENSP00000290341,0,CRD-mediated mRNA stability complex,CRD-mediated mRNA stabilization,mRNA 3'-UTR binding,RNA Metabolism,gold,8
MYOF,Q9NZM1,9606.ENSP00000352208,0,nuclear envelope ,plasma membrane repair ,phospholipid binding ,Transcription Regulation,slateblue1,9
NOP53,Q9NZM5,9606.ENSP00000246802,DSB,nucleolus ,regulation of signal transduction by p53 class mediator ,p53 binding ,DNA Repair,firebrick1,3
CALML5,Q9NZT1,9606.ENSP00000369689,0,ficolin-1-rich granule lumen ,signal transduction ,calcium ion binding ,Cell Cycle regulation,coral1,1
NDUFA13,Q9P0J0,9606.ENSP00000423673,0,nucleoplasm ,"transcription, DNA-templated ",NAD binding ,Transcription Regulation,slateblue1,9
CCDC88C,Q9P219,9606.ENSP00000374507,NER,centrosome ,Wnt signaling pathway ,G-protein alpha-subunit binding ,Cell Cycle regulation,coral1,1
RCC2,Q9P258,9606.ENSP00000364585,0,"chromosome, centromeric core domain ",cell cycle ,protein kinase binding ,Cell Cycle regulation,coral1,1
DHCR7,Q9UBM7,9606.ENSP00000347717,0,endoplasmic reticulum,cholesterol biosynthetic process,NADP binding,Cell Cycle regulation,coral1,1
NXF1,Q9UBU9,9606.ENSP00000436679,0,nuclear pore ,nucleocytoplasmic transport ,mRNA binding ,Nuclear Pore,deepskyblue3,4
SLC25A10,Q9UBX3,9606.ENSP00000446242,0,nucleus,succinate transmembrane transport,succinate transmembrane transporter activity,Chromatin Organization,darkviolet,2
LRWD1,Q9UFC0,9606.ENSP00000292616,MMR,"chromosome, telomeric region ",chromatin organization ,methylated histone binding ,Chromatin Organization,darkviolet,2
SEC63,Q9UGP8,9606.ENSP00000357998,0,integral component of membrane,posttranslational protein targeting to membrane,"RNA binding,",UPR,maroon,10
SEPT9,Q9UHD8,9606.ENSP00000391249,0,cell division site,cytoskeleton-dependent cytokinesis,GTPase activity,Cell Cycle regulation,coral1,1
PUF60,Q9UHX1,9606.ENSP00000434359,NER,nucleoplasm ,"mRNA splicing, via spliceosome ",DNA binding ,RNA Metabolism,gold,8
BAZ1B,Q9UIG0,9606.ENSP00000342434,DSB,WICH complex,histone phosphorylation,protein tyrosine kinase activity,Chromatin Organization,darkviolet,2
ANAPC7,Q9UJX3,9606.ENSP00000394394,0,anaphase-promoting complex,regulation of mitotic cell cycle,protein phosphatase binding,Cell Cycle regulation,coral1,1
CPSF3,Q9UKF6,9606.ENSP00000238112,0,nucleoplasm ,mRNA polyadenylation ,5'-3' exonuclease activity ,DNA Repair,firebrick1,3
RALY,Q9UKM9,9606.ENSP00000246194,0,spliceosomal complex ,"mRNA splicing, via spliceosome ",transcription cofactor activity ,Transcription Regulation,slateblue1,9
ACIN1,Q9UKV3,9606.ENSP00000262710,HR,ASAP complex ,RNA splicing ,ATPase activity ,RNA Metabolism,gold,8
YEATS2,Q9ULM3,9606.ENSP00000306983,0,NuA4 histone acetyltransferase complex ,chromatin remodeling ,TBP-class protein binding ,Chromatin Organization,darkviolet,2
CORO1C,Q9ULV4,9606.ENSP00000394496,0,actin cytoskeleton [GO:0015629],actin filament capping ,actin filament organization ,Chromatin Organization,darkviolet,2
TPX2,Q9ULW0,9606.ENSP00000300403,RLOOPS,nuclear microtubule ,cell division ,protein kinase binding ,Chromatin Organization,darkviolet,2
PRPF19,Q9UMS4,9606.ENSP00000227524,0,spliceosomal complex ,"mRNA splicing, via spliceosome ",mRNA binding ,DNA Repair,firebrick1,3
G3BP2,Q9UN86,9606.ENSP00000352738,0,ribonucleoprotein complex ,mRNA transport ,mRNA binding ,Transcription Regulation,slateblue1,9
DIMT1,Q9UNQ2,9606.ENSP00000199320,DSB,nucleolus ,rRNA methylation ,RNA binding ,Chromatin Organization,darkviolet,2
SRRM2,Q9UQ35,9606.ENSP00000301740,HR,spliceosomal complex ,"mRNA splicing, via spliceosome ",mRNA binding ,RNA Metabolism,gold,8
PA2G4,Q9UQ80,9606.ENSP00000302886,0,nucleolus ,rRNA processing ,ubiquitin protein ligase binding ,Transcription Regulation,slateblue1,9
SMC3,Q9UQE7,9606.ENSP00000354720,0,cohesin complex ,DNA repair ,ATPase activity ,DNA Repair,firebrick1,3
SCML2,Q9UQR0,9606.ENSP00000251900,BER,PcG protein complex ,"negative regulation of transcription, DNA-templated ",chromatin binding ,Transcription Regulation,slateblue1,9
NIP7,Q9Y221,9606.ENSP00000254940,0, nucleolus [GO:0005730],rRNA processing ,rRNA binding ,RNA Metabolism,gold,8
RUVBL2,Q9Y230,9606.ENSP00000473172,HR,MLL1 complex ,chromatin remodeling ,transcription corepressor activity ,DNA Repair,firebrick1,3
HIGD1A,Q9Y241,9606.ENSP00000398064,0,respirasome ,negative regulation of apoptotic process , respirasome ,Cell Cycle regulation,coral1,1
EIF3L,Q9Y262,9606.ENSP00000485663,0, eukaryotic 43S preinitiation complex [GO:0016282],translational initiation,ribosome binding ,Ribosome Biosynthesis,lightgreen,7
RUVBL1,Q9Y265,9606.ENSP00000318297,HR,MLL1 complex ,chromatin remodeling ,transcription coactivator activity ,DNA Repair,firebrick1,3
DRG1,Q9Y295,9606.ENSP00000329715,0,nucleoplasm ,"transcription, DNA-templated ",transcription factor binding ,DNA Repair,firebrick1,3
RCL1,Q9Y2P8,9606.ENSP00000371169,0,small-subunit processome,endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript ,endoribonuclease activit,Ribosome Biosynthesis,lightgreen,7
POLDIP2,Q9Y2S7,9606.ENSP00000475924,MMR,nucleus,error-free translesion synthesis,GO:0003677~,Transcription Regulation,slateblue1,9
THRAP3,Q9Y2W1,9606.ENSP00000346634,NER,mediator complex ,"transcription, DNA-templated ",transcription coactivator activity ,Transcription Regulation,slateblue1,9
NOP58,Q9Y2X3,9606.ENSP00000264279,0,box C/D RNP complex ,rRNA processing ,TFIID-class transcription factor binding ,Ribosome Biosynthesis,lightgreen,7
PPIL1,Q9Y3C6,9606.ENSP00000362803,0,catalytic step 2 spliceosome ,"mRNA splicing, via spliceosome ",mRNA binding ,RNA Metabolism,gold,8
STRAP,Q9Y3F4,9606.ENSP00000392270,0,SMN-Sm protein complex ,"transcription, DNA-templated ",mRNA binding ,RNA Metabolism,gold,3
RTCB,Q9Y3I0,9606.ENSP00000216038,DSB,nucleoplasm ,tRNA splicing ,RNA binding ,RNA Metabolism,gold,8
NOC2L,Q9Y3T9,9606.ENSP00000317992,DSB,Noc1p-Noc2p complex ,"transcription, DNA-templated ",transcription corepressor activity ,Chromatin Organization,darkviolet,2
RPL36,Q9Y3U8,9606.ENSP00000464342,0, cytosolic large ribosomal subunit [GO:0022625],ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
YTHDF2,Q9Y5A9,9606.ENSP00000362918,MMR,centriolar satellite ,cell cycle ,mRNA binding ,Cell Cycle regulation,coral1,1
SUPT16H,Q9Y5B9,9606.ENSP00000216297,0,FACT complex ,chromatin organization ,nucleosome binding ,Chromatin Organization,darkviolet,2
UTP18,Q9Y5J1,9606.ENSP00000225298,HR,small-subunit processome ,rRNA processing ,RNA binding ,Ribosome Biosynthesis,lightgreen,7
NFS1,Q9Y697,9606.ENSP00000363205,0,nucleus,iron incorporation into metallo-sulfur cluster,iron-sulfur cluster binding,Cell Cycle regulation,coral1,1
MTCH2,Q9Y6C9,9606.ENSP00000303222,0,nucleus,positive regulation of apoptotic process,membrane insertase activity,Cell Cycle regulation,coral1,1
TEX264,Q9Y6I9,9606.ENSP00000396628,ForkStall,autophagosome membrane,reticulophagy,signaling receptor activity,UPR,maroon,10
